x,y
600.0,260.0
600.0,300.0
600.0,340.0
600.0,380.0
600.0,420.0
600.0,460.0
600.0,500.0
600.0,540.0
600.0,580.0
600.0,620.0
600.0,660.0
600.0,700.0
600.0,740.0
600.0,780.0
620.0,200.0
620.0,280.0
620.0,360.0
620.0,440.0
620.0,520.0
620.0,600.0
620.0,680.0
620.0,800.0
640.0,60.0
640.0,100.0
640.0,140.0
640.0,180.0
640.0,220.0
640.0,260.0
640.0,300.0
640.0,340.0
640.0,380.0
640.0,420.0
640.0,460.0
640.0,500.0
640.0,540.0
640.0,580.0
640.0,620.0
640.0,660.0
640.0,700.0
640.0,740.0
640.0,780.0
660.0,160.0
660.0,240.0
660.0,320.0
660.0,400.0
660.0,480.0
660.0,560.0
660.0,640.0
660.0,720.0
660.0,800.0
680.0,60.0
680.0,100.0
680.0,140.0
680.0,180.0
680.0,220.0
680.0,260.0
680.0,300.0
680.0,340.0
680.0,380.0
680.0,420.0
680.0,460.0
680.0,500.0
680.0,540.0
680.0,580.0
680.0,620.0
680.0,660.0
680.0,700.0
680.0,740.0
680.0,780.0
700.0,200.0
700.0,280.0
700.0,360.0
700.0,440.0
700.0,520.0
700.0,600.0
700.0,680.0
700.0,800.0
